"PC1" "PC2" "PC3"
"MDH1" 0.00546942380519859 -0.0384962434338623 -0.0301310848257749
"TNNT2" 0.0328630004105696 -0.0376759511289416 0.0278418144753526
"STMN2" -0.041793934505793 -0.00679442152289971 -0.0124638795510512
"NAP1L5" -0.0399381817480013 -0.00333243936212584 0.00456267087667445
"UQCRB" 0.0234380384296348 -0.0118991152168004 -0.0121582843682192
"PLN" 0.0320888430107674 -0.0384650261164343 0.0304088880979548
"TMSB4X" -0.0055193635705825 -0.0434064963873514 0.0147589328719925
"TUBB2A" -0.0331169654976001 -0.0111318957751652 -0.00235771111478423
"CALM2" -0.0297567308079358 -0.0178686805078346 -0.000133318917881822
"EGR1" 0.0124653066826949 -0.0189935836898351 0.0324757823033965
"RTN1" -0.0424070051170049 -0.00738707597732624 -0.00717505417617208
"NDN" -0.0183231274525835 -0.0160088962895894 0.0386759745816034
"B2M" 0.0175073475926612 0.0473195019502993 0.0324430193714779
"PRKAR1A" -0.0166087596930889 -0.0359791293094139 0.026653665755565
"EEF1A1" 0.0315609309450774 -0.00611201969275151 -0.00899198355669155
"HSPA5" 0.0235136775531637 -0.026390419989279 -0.0150999639666307
"GAP43" -0.0399752111827033 -0.0109736338530175 -0.00352730359382064
"NGFRAP1" -0.0247753376099814 -0.047757069887652 0.0273963834301184
"YBX1" 0.0288413968849784 -0.0198657680534717 -0.0172168918319232
"S100B" -0.0193867046701389 0.0296206259377333 0.0560375731973722
"OAZ1" 0.0226076897534862 -0.020810798803256 0.0319801829248593
"SLC18A2" -0.0227482670203181 0.0210294128657608 0.0608011282908333
"SMPX" 0.0324108278860685 -0.0358540833616153 0.0252542926899824
"HSPA9" 0.0161946655375075 0.00928986328972379 -0.0233369508710469
"NEXN" 0.0306340032586864 -0.0330115741417969 0.0261694544622751
"PLP1" -0.0129846536989633 0.0248905059306217 0.0587010372034849
"ALDOA" -0.0247862361120123 0.0211797916741791 -0.0141927110331259
"ALDOC" -0.0218780805393708 0.0157276679219675 0.051393679283723
"YWHAG" -0.0310676976371256 0.0206801302328008 -0.0262783736548512
"MTAP1B" -0.0335463451595661 -0.0159242189111265 -0.00617260828711119
"UQCRFS1" 0.0291559407007266 -0.0251193970116816 -0.0202736075014471
"SOD2" 0.0184227905821231 -0.00378237053888485 -0.0317164688699525
"ETFA" 0.034554865862637 0.00135327935805115 0.00137252308843724
"ATP5O" 0.022062909540128 -0.028578165083541 -0.00507092382332286
"CANX" 0.00107083021487415 -0.0168650996737463 -0.0105426853629566
"SOD1" -0.0208904859288255 0.00545608577479953 -0.02424911551031
"TMEM66" -0.0178077757208281 -0.0252363036831604 0.0126194956240203
"ATP6V1B2" -0.0324153237532026 0.000944976035395005 -0.0012699497623781
"SDHA" 0.016816285733027 -0.00120020483456447 4.243171525691e-05
"TTN" 0.0303598696044192 -0.0313582995854174 0.0068757718077681
"ACLY" -0.0167022196333635 0.0217368544575266 0.000834583206839966
"CHGB" -0.041856999588924 -0.00425535326219554 -0.00218636890065868
"SDHC" 0.0279178161947112 -0.0136801349124428 -0.0154326536892042
"GRB10" 0.0219582504111043 -0.00665902429553758 0.0463273304874221
"UQCRC2" 0.0267175169027984 -0.0201082462639801 -0.0236919693470026
"EIF4G2" 0.0250016801721401 -0.0163765266269802 -0.0221988139885781
"NDUFB3" 0.00687564790968873 -0.0227949643125981 -0.00621292023066179
"COX6C" 0.0187960151479603 -0.0368116678043843 -0.0362059399958165
"GAD1" -0.0306245472953262 -0.0104673834974466 -0.0298086482250516
"SNAP47" -0.0365461339381583 -0.00141839090054967 0.00487061565960291
"PDHB" 0.0225271445674394 -0.0165018362094284 -0.0241530157728502
"HSP90AA1" -0.0132218277751212 -0.0421094594806655 0.00227341158423214
"WBP5" 0.00366964380588085 -0.0343472753557699 0.0438099974030325
"HNRNPA2B1" 0.0235662483139594 -0.0232465776459722 -0.00982818596270606
"MAPT" -0.0420929799600792 -0.00582203646571711 -0.00380087752446667
"PRKAR1B" -0.0412091505738945 -0.00280366352491166 0.00358129102793131
"RBBP7" 0.0207245734801445 -0.0275285247523455 0.00227019619386197
"DYNLL2" -0.035477363177201 0.0141587281761001 -0.00722142518310448
"FXYD6" -0.0364128665259149 -0.00731649488268972 0.00798011447431724
"SCG2" -0.0416760358900769 -0.00443887553420589 0.00404738099957156
"VIM" 0.0368827726259091 0.00465838233838382 -0.0046002687248454
"ACADL" 0.0379511195466248 0.00221545888229426 0.0143940236468262
"STMN3" -0.0423399448592047 -0.00735192592802765 -0.00736987390797387
"GABARAPL1" -0.0332035481823981 0.0119101116873964 -0.0134067470921977
"IFRD1" 0.0303632648433684 0.0083806762841502 0.00530566172080314
"PRR18" -0.0118501600642502 0.0212652507764709 0.0214251867044638
"H3F3B" 0.0220603938248642 -0.0181837592034302 0.00285465995688552
"TPM1" 0.029623190044855 -0.017582583797998 0.0145343372706608
"NDUFA1" 0.00910892089148592 -0.0166590905739922 0.0161018106188911
"UCP1" 0.0153558071701793 0.0545198154677715 -0.0177367208899214
"FAM162A" 0.0277586869072047 -0.0229519291031553 -0.00144843476284826
"ARMCX2" -0.00976257766315086 -0.041481336170788 0.0189877449808185
"SEPT3" -0.0381948323363027 -0.0133986477337039 -0.00944173610185833
"VSNL1" -0.0417135374785241 -0.00618100217412429 -0.00171104478957345
"GLUL" -0.0113453669938683 0.0399139196472918 0.00384701272855193
"DECR1" 0.0338990703555095 0.021648407520024 0.0107289707498662
"IDH3A" 0.0244081411615282 -0.0136946859092727 -0.0170335060935872
"PSMB4" -0.000722410698718136 -0.00984404732985661 -0.0200126548734949
"CPE" -0.0222373752477448 -0.0547582770349681 0.0108541620337997
"TSPYL4" -0.0377726335260702 -0.0151559164880405 0.0031200783876038
"SPP1" 0.00374334067811572 0.0463933421448177 0.00719868295889196
"EPHX2" 0.0363671057318563 0.0207230370286261 0.00477960049330666
"SUCLA2" 0.0227825399021583 -0.0238148475365742 -0.023095938560289
"PEA15A" -0.0327763468154328 0.0114550980005193 0.0289041770915064
"BEX2" -0.039842551049618 -0.0158348744057323 0.00617669862562202
"CAT" 0.0232972654779407 0.0355351794965614 -0.000484980964894557
"TBCA" 0.0193057836089346 -0.0312157214723207 0.0180149439020734
"2410022L05RIK" -0.016494686137078 -0.0325108288618302 0.00890473519775793
"DLD" 0.0310120344605024 -0.0135464186276537 -0.0168022172462954
"CALM1" -0.0337375253167131 0.00115636572423862 -0.0314773248003723
"SERBP1" 0.0186255702993195 -0.0197635884472214 -0.0247230888748582
"SYT13" -0.0355348426619989 0.00744137099772137 0.0163567113991808
"COX5A" 0.02139017867605 -0.0199556431015377 -0.044383993582086
"SAR1A" 0.0010342139450868 0.00688292234665041 -0.0136135101138928
"ATP2A2" 0.00588184799416326 -0.0475554037923814 -0.0102928000180398
"MYL3" 0.0317653269233327 -0.038073565735936 0.0316555222232306
"PCBP1" 0.0256217460507516 -0.00623550684589477 0.00417949519677782
"CCL4" -0.0188727735212574 0.0305007232028747 0.0567512584473287
"DYNC1H1" -0.0135639690355872 0.00502089873209943 -0.0118989684370417
"SRXN1" -0.0200335320302939 0.0403105279263475 -0.0275290147771075
"BASP1" -0.0369222063470994 0.0155817300860849 -0.0193762843757382
"HSPA8" -0.0309115202177182 -0.0380296216266827 0.00929604628001164
